gp_practice_code,num
A81001,8
A81002,42
A81004,23
A81005,29
A81006,24
A81007,18
A81009,14
A81011,10
A81012,5
A81013,16
A81014,8
A81015,1
A81016,17
A81017,28
A81018,19
A81019,17
A81020,22
A81021,29
A81022,18
A81023,9
A81025,12
A81026,22
A81027,44
A81029,4
A81030,40
A81031,27
A81032,33
A81034,37
A81035,27
A81036,38
A81037,13
A81038,4
A81039,23
A81040,20
A81041,28
A81042,23
A81043,17
A81044,26
A81045,10
A81046,25
A81048,20
A81049,6
A81051,15
A81052,13
A81053,12
A81054,22
A81056,3
A81057,18
A81058,11
A81060,14
A81063,12
A81064,8
A81066,10
A81067,13
A81070,10
A81602,3
A81605,1
A81608,4
A81610,14
A81611,9
A81612,5
A81618,31
A81621,4
A81622,8
A81629,8
A81631,11
A81634,1
A82003,22
A82004,6
A82005,19
A82006,19
A82007,12
A82008,21
A82009,22
A82010,18
A82012,56
A82013,23
A82014,10
A82015,10
A82016,66
A82017,1
A82018,27
A82019,13
A82020,27
A82021,47
A82022,14
A82023,17
A82024,20
A82025,18
A82026,39
A82027,36
A82028,29
A82029,9
A82030,22
A82031,15
A82032,31
A82033,15
A82034,12
A82035,45
A82036,28
A82037,16
A82038,20
A82039,13
A82041,27
A82044,66
A82045,19
A82046,9
A82047,47
A82048,18
A82049,16
A82050,14
A82053,25
A82055,18
A82057,1
A82058,10
A82060,3
A82062,16
A82064,14
A82065,3
A82068,10
A82070,17
A82071,14
A82072,13
A82075,20
A82077,8
A82608,12
A82617,13
A82620,4
A82621,1
A82623,5
A82629,5
A82631,11
A82646,6
A82647,11
A82650,13
A82651,16
A82654,18
A83001,27
A83003,25
A83004,5
A83005,33
A83006,13
A83007,14
A83008,7
A83009,28
A83010,32
A83011,48
A83012,45
A83013,23
A83014,20
A83015,30
A83016,23
A83017,6
A83018,49
A83019,3
A83020,35
A83021,34
A83022,67
A83023,22
A83024,23
A83025,31
A83026,32
A83027,20
A83028,34
A83029,21
A83030,34
A83031,23
A83032,6
A83033,17
A83034,22
A83035,37
A83036,42
A83037,31
A83038,9
A83040,23
A83041,24
A83042,4
A83043,10
A83044,18
A83045,37
A83046,37
A83047,40
A83048,22
A83049,34
A83050,58
A83051,37
A83052,21
A83054,33
A83055,14
A83057,25
A83060,10
A83061,2
A83066,17
A83070,22
A83071,9
A83072,13
A83073,7
A83074,29
A83075,15
A83603,6
A83610,3
A83616,13
A83617,8
A83618,13
A83619,6
A83622,4
A83626,4
A83627,17
A83630,3
A83632,5
A83634,7
A83635,5
A83636,10
A83637,8
A83641,5
A83644,14
A84002,30
A84003,16
A84005,48
A84006,70
A84007,51
A84008,18
A84009,48
A84011,22
A84013,15
A84014,22
A84015,4
A84016,20
A84018,37
A84020,19
A84022,34
A84024,39
A84025,6
A84026,16
A84027,14
A84028,46
A84029,9
A84030,32
A84031,42
A84032,12
A84033,19
A84034,25
A84035,26
A84036,74
A84037,9
A84038,15
A84039,22
A84040,20
A84042,6
A84043,17
A84044,21
A84045,25
A84047,17
A84604,7
A84609,6
A84614,7
A84619,7
A85001,19
A85002,4
A85003,25
A85004,24
A85005,25
A85006,21
A85007,17
A85008,31
A85009,14
A85010,26
A85011,14
A85012,8
A85013,11
A85014,26
A85016,18
A85017,7
A85018,15
A85019,19
A85020,51
A85021,2
A85023,6
A85024,9
A85026,4
A85609,2
A85611,6
A85614,11
A85616,15
A85617,12
A85620,9
A86003,31
A86004,15
A86005,9
A86006,15
A86007,4
A86008,26
A86010,18
A86011,15
A86012,13
A86013,10
A86015,4
A86016,15
A86017,14
A86018,43
A86020,24
A86021,21
A86022,31
A86023,21
A86024,11
A86025,37
A86026,13
A86027,1
A86028,7
A86029,30
A86030,18
A86031,16
A86033,9
A86035,6
A86036,14
A86037,9
A86038,17
A86040,10
A86041,14
A86601,22
A87002,20
A87003,25
A87004,56
A87005,32
A87006,18
A87007,25
A87008,20
A87009,41
A87011,24
A87012,28
A87013,18
A87015,8
A87016,22
A87017,18
A87019,6
A87020,29
A87022,9
A87023,6
A87027,7
A87029,9
A87030,7
A87600,14
A87612,18
A87615,18
A88001,2
A88002,38
A88003,37
A88004,26
A88005,13
A88006,24
A88007,17
A88008,21
A88009,19
A88010,7
A88012,20
A88013,58
A88014,4
A88015,13
A88016,35
A88022,19
A88023,13
A88025,20
A88601,9
A88608,14
A88613,8
A89001,36
A89002,8
A89004,22
A89005,19
A89006,16
A89007,25
A89008,13
A89009,19
A89010,37
A89011,10
A89012,36
A89013,10
A89015,37
A89016,26
A89017,39
A89018,9
A89019,49
A89020,24
A89021,18
A89022,9
A89023,18
A89024,19
A89025,23
A89026,19
A89027,13
A89028,29
A89030,21
A89031,11
A89032,32
A89034,4
A89035,26
A89036,6
A89040,17
A89041,11
A89603,3
A89604,6
A89614,14
A89616,9
A89617,15
A89623,7
A91021,1
A91023,1
A91024,2
A91025,1
A91026,1
A91028,1
A91029,1
A91030,2
A91036,1
A91037,1
A91041,1
A91042,2
A91048,1
A91049,4
A91068,1
A91070,1
A91071,1
A91077,1
A91078,1
A91079,2
A91080,1
A91084,1
A91087,2
A91089,1
A91092,2
A91104,1
A91108,1
A91113,1
A91120,4
A91122,2
A91131,1
A91132,1
A91133,1
A91136,1
A91139,3
A91194,1
A91200,1
A91201,1
A91203,1
A91206,1
A91216,1
B81002,9
B81003,34
B81004,40
B81005,37
B81006,28
B81007,29
B81008,82
B81009,24
B81010,28
B81011,13
B81012,6
B81013,11
B81014,17
B81015,28
B81016,14
B81017,23
B81018,15
B81020,21
B81021,8
B81022,35
B81023,14
B81024,23
B81025,92
B81026,41
B81027,10
B81029,19
B81030,41
B81031,32
B81032,7
B81034,41
B81035,20
B81036,38
B81037,50
B81038,22
B81039,65
B81040,21
B81041,20
B81042,45
B81043,33
B81045,16
B81046,19
B81047,25
B81048,105
B81049,5
B81050,15
B81051,41
B81052,14
B81053,7
B81054,26
B81055,12
B81056,13
B81058,11
B81060,20
B81061,89
B81062,13
B81063,12
B81064,15
B81065,26
B81066,1
B81068,32
B81069,26
B81070,20
B81074,10
B81075,15
B81077,20
B81080,2
B81082,22
B81085,16
B81087,23
B81088,20
B81090,6
B81091,8
B81092,39
B81095,21
B81097,5
B81099,19
B81100,18
B81101,82
B81104,3
B81108,8
B81109,36
B81112,15
B81113,10
B81118,11
B81119,10
B81602,1
B81603,1
B81606,7
B81616,5
B81617,7
B81619,11
B81620,2
B81628,9
B81631,10
B81635,13
B81642,6
B81645,9
B81647,8
B81648,8
B81653,24
B81655,10
B81656,7
B81658,10
B81663,4
B81664,3
B81665,9
B81666,8
B81675,22
B81677,9
B81688,3
B81697,4
B82001,2
B82002,15
B82004,36
B82005,94
B82007,76
B82008,36
B82010,38
B82011,14
B82012,42
B82013,58
B82014,12
B82016,23
B82017,34
B82018,12
B82019,4
B82020,63
B82021,23
B82022,11
B82023,15
B82024,17
B82025,51
B82026,97
B82027,38
B82028,65
B82029,9
B82030,14
B82031,20
B82032,39
B82033,36
B82034,18
B82035,5
B82036,35
B82037,31
B82038,63
B82041,29
B82042,18
B82044,27
B82045,17
B82046,10
B82047,9
B82049,9
B82050,58
B82053,94
B82054,52
B82057,19
B82059,43
B82060,53
B82061,32
B82062,8
B82063,27
B82064,11
B82066,27
B82067,23
B82068,7
B82069,22
B82071,28
B82072,17
B82073,30
B82074,26
B82075,15
B82077,15
B82078,20
B82079,9
B82080,41
B82081,24
B82083,64
B82086,7
B82088,15
B82091,25
B82097,21
B82098,43
B82100,18
B82101,20
B82103,1
B82104,8
B82105,14
B82106,20
B82609,9
B82611,1
B82619,7
B82622,6
B82628,7
B83002,40
B83005,12
B83006,53
B83007,7
B83008,54
B83009,37
B83010,30
B83011,9
B83012,27
B83013,10
B83014,78
B83015,17
B83016,12
B83017,19
B83018,41
B83019,38
B83020,24
B83021,33
B83022,41
B83023,36
B83025,8
B83026,4
B83027,45
B83028,53
B83029,31
B83030,24
B83031,22
B83032,5
B83033,126
B83034,13
B83035,21
B83037,80
B83038,43
B83039,75
B83040,22
B83041,30
B83042,21
B83043,2
B83045,36
B83049,6
B83050,3
B83051,1
B83052,17
B83054,12
B83055,40
B83056,22
B83058,11
B83061,12
B83062,11
B83063,34
B83064,26
B83067,42
B83071,1
B83602,5
B83604,2
B83611,11
B83614,11
B83617,2
B83620,21
B83621,5
B83622,5
B83624,124
B83626,7
B83627,3
B83628,7
B83629,7
B83638,4
B83641,7
B83642,6
B83653,13
B83657,2
B83659,4
B83660,9
B83661,6
B84001,39
B84002,4
B84003,27
B84004,86
B84005,36
B84006,42
B84007,42
B84008,51
B84009,38
B84010,35
B84011,45
B84012,16
B84013,34
B84014,29
B84016,30
B84017,2
B84019,34
B84021,22
B84612,15
B84613,16
B84615,3
B84618,17
B84623,11
B85001,21
B85002,8
B85004,16
B85005,22
B85006,53
B85008,16
B85009,16
B85010,18
B85011,1
B85012,25
B85014,25
B85015,22
B85016,17
B85018,22
B85019,70
B85020,10
B85021,28
B85022,35
B85023,21
B85024,31
B85025,42
B85026,35
B85027,44
B85028,39
B85030,19
B85031,29
B85032,27
B85033,17
B85036,24
B85037,19
B85038,17
B85041,15
B85042,20
B85044,1
B85048,5
B85051,28
B85054,29
B85055,13
B85058,6
B85059,16
B85060,5
B85061,19
B85062,2
B85606,4
B85610,39
B85611,5
B85612,7
B85614,7
B85619,8
B85620,4
B85622,7
B85623,8
B85634,4
B85636,23
B85638,9
B85640,9
B85641,15
B85646,15
B85652,10
B85655,6
B85659,1
B85660,12
B86001,5
B86002,13
B86003,14
B86004,21
B86005,11
B86006,33
B86007,11
B86008,46
B86009,19
B86010,21
B86011,13
B86012,11
B86013,24
B86014,20
B86015,23
B86016,15
B86017,9
B86018,12
B86019,8
B86020,26
B86022,26
B86023,8
B86024,9
B86025,8
B86028,11
B86029,20
B86030,23
B86031,1
B86032,55
B86033,49
B86034,20
B86035,12
B86036,39
B86038,22
B86039,18
B86041,11
B86042,15
B86043,12
B86044,47
B86047,2
B86048,21
B86049,11
B86050,39
B86051,30
B86052,44
B86054,13
B86055,14
B86056,5
B86057,21
B86058,11
B86059,25
B86060,12
B86061,2
B86062,25
B86064,37
B86066,25
B86067,28
B86068,15
B86069,8
B86070,16
B86071,10
B86074,4
B86075,18
B86077,1
B86081,14
B86086,11
B86089,16
B86092,15
B86093,12
B86094,8
B86095,1
B86096,11
B86100,12
B86101,8
B86103,1
B86104,10
B86106,1
B86108,6
B86109,6
B86623,1
B86625,13
B86633,3
B86642,3
B86643,5
B86648,5
B86654,11
B86655,3
B86658,13
B86666,6
B86667,7
B86669,1
B86672,10
B86673,14
B86675,7
B86678,12
B87001,27
B87002,34
B87003,31
B87004,23
B87005,28
B87006,26
B87007,31
B87008,38
B87009,20
B87011,35
B87012,22
B87013,56
B87015,29
B87016,72
B87017,43
B87018,27
B87019,25
B87020,45
B87021,40
B87022,9
B87025,22
B87026,37
B87027,33
B87028,35
B87030,74
B87031,62
B87032,16
B87033,13
B87036,15
B87039,39
B87040,14
B87041,7
B87042,9
B87044,9
B87600,7
B87602,10
B87604,3
B87616,1
C81001,18
C81002,20
C81003,31
C81004,46
C81005,48
C81006,20
C81007,28
C81008,22
C81009,24
C81010,30
C81012,37
C81013,15
C81014,30
C81015,19
C81016,22
C81017,27
C81018,30
C81019,3
C81020,22
C81021,44
C81022,7
C81023,28
C81025,32
C81026,20
C81027,18
C81028,22
C81029,47
C81030,20
C81031,31
C81032,27
C81033,19
C81034,25
C81035,23
C81036,13
C81037,28
C81038,40
C81039,12
C81040,26
C81041,25
C81042,35
C81044,11
C81045,27
C81046,16
C81047,44
C81048,41
C81049,23
C81050,21
C81051,64
C81052,18
C81053,20
C81054,43
C81055,12
C81056,20
C81057,33
C81058,11
C81059,20
C81060,18
C81061,24
C81062,24
C81063,18
C81064,37
C81065,21
C81066,33
C81067,33
C81068,32
C81069,34
C81070,12
C81071,22
C81072,36
C81073,36
C81074,12
C81075,22
C81076,7
C81077,9
C81080,28
C81081,28
C81082,7
C81083,29
C81084,40
C81086,29
C81087,16
C81089,20
C81090,6
C81091,17
C81092,28
C81094,19
C81095,7
C81096,10
C81097,21
C81099,21
C81101,25
C81104,5
C81106,14
C81108,43
C81110,24
C81113,21
C81114,16
C81115,8
C81118,8
C81604,7
C81611,6
C81615,5
C81616,11
C81634,8
C81638,6
C81640,3
C81642,12
C81647,14
C81648,10
C81649,10
C81652,6
C81653,4
C81655,4
C81658,13
C81660,9
C81661,6
C81662,11
C82001,49
C82002,23
C82003,21
C82005,10
C82007,33
C82008,9
C82009,41
C82010,32
C82011,13
C82012,25
C82013,16
C82014,32
C82016,13
C82017,31
C82018,28
C82019,4
C82020,6
C82021,9
C82022,17
C82024,16
C82025,39
C82026,13
C82027,14
C82028,17
C82029,24
C82030,10
C82031,11
C82032,3
C82033,11
C82034,13
C82035,10
C82036,9
C82037,16
C82038,52
C82039,13
C82040,19
C82041,25
C82042,23
C82043,25
C82044,19
C82045,11
C82046,11
C82047,19
C82048,7
C82050,16
C82051,26
C82052,7
C82053,9
C82054,23
C82055,21
C82056,33
C82059,1
C82060,3
C82061,18
C82062,18
C82063,14
C82064,22
C82066,35
C82067,15
C82068,17
C82070,9
C82071,18
C82072,11
C82073,8
C82075,20
C82076,32
C82077,30
C82078,24
C82079,14
C82080,4
C82082,16
C82084,3
C82086,7
C82088,11
C82091,10
C82092,7
C82093,25
C82094,5
C82095,16
C82096,21
C82097,2
C82098,2
C82099,5
C82100,4
C82102,5
C82103,6
C82107,12
C82109,14
C82111,3
C82112,8
C82114,2
C82116,3
C82119,5
C82120,8
C82121,22
C82122,2
C82123,3
C82124,2
C82600,7
C82610,9
C82611,12
C82614,8
C82623,9
C82624,1
C82626,1
C82627,12
C82628,5
C82631,6
C82634,5
C82639,13
C82642,3
C82643,9
C82644,5
C82649,16
C82650,12
C82651,1
C82653,1
C82656,6
C82660,3
C82662,3
C82663,4
C82667,7
C82669,5
C82671,1
C82676,8
C82678,8
C82680,5
C83001,12
C83002,13
C83003,29
C83004,21
C83005,16
C83007,71
C83008,10
C83009,7
C83010,24
C83011,38
C83013,16
C83014,18
C83015,30
C83018,17
C83019,55
C83020,23
C83022,42
C83023,43
C83024,9
C83025,26
C83026,80
C83027,23
C83028,21
C83029,12
C83030,19
C83031,22
C83032,18
C83033,2
C83035,22
C83036,21
C83037,27
C83038,19
C83039,19
C83040,36
C83041,15
C83042,21
C83043,29
C83044,19
C83045,47
C83046,10
C83048,26
C83049,17
C83051,3
C83052,14
C83053,7
C83054,37
C83055,16
C83056,33
C83057,21
C83058,18
C83059,25
C83060,28
C83061,31
C83062,10
C83063,60
C83064,49
C83065,16
C83067,19
C83071,15
C83072,18
C83073,10
C83074,14
C83075,21
C83078,11
C83079,5
C83080,14
C83082,14
C83083,23
C83085,27
C83605,2
C83611,6
C83613,13
C83614,9
C83617,16
C83626,11
C83628,1
C83631,3
C83634,16
C83635,15
C83637,5
C83641,15
C83643,7
C83649,10
C83650,7
C83653,4
C84001,84
C84002,1
C84004,11
C84005,46
C84008,19
C84009,36
C84010,21
C84011,15
C84012,35
C84013,35
C84014,20
C84016,33
C84017,59
C84018,7
C84019,34
C84020,11
C84021,26
C84023,3
C84024,76
C84025,12
C84026,25
C84028,12
C84029,28
C84030,16
C84031,7
C84032,45
C84033,21
C84034,11
C84035,38
C84036,26
C84037,30
C84039,12
C84042,9
C84043,9
C84044,28
C84045,17
C84046,14
C84047,31
C84048,15
C84049,25
C84051,35
C84053,33
C84055,32
C84057,9
C84059,21
C84060,12
C84061,7
C84063,11
C84064,4
C84065,10
C84066,35
C84067,16
C84069,24
C84072,6
C84074,9
C84076,6
C84077,23
C84078,21
C84080,19
C84081,10
C84084,16
C84085,16
C84086,28
C84087,16
C84090,21
C84091,6
C84092,7
C84094,44
C84095,20
C84096,3
C84101,10
C84103,5
C84104,1
C84105,4
C84106,22
C84107,15
C84112,5
C84113,21
C84114,16
C84115,22
C84116,8
C84117,8
C84120,31
C84122,11
C84123,11
C84124,5
C84127,7
C84129,21
C84131,20
C84133,3
C84135,2
C84136,6
C84138,7
C84140,20
C84142,13
C84144,2
C84150,9
C84151,2
C84602,3
C84605,31
C84613,25
C84619,12
C84621,2
C84624,12
C84628,6
C84629,6
C84637,10
C84646,17
C84654,5
C84656,11
C84658,13
C84660,15
C84664,5
C84667,10
C84676,9
C84679,4
C84682,6
C84683,6
C84688,4
C84691,2
C84692,16
C84693,7
C84694,9
C84695,6
C84696,9
C84698,4
C84703,19
C84704,10
C84705,12
C84709,5
C84710,1
C84714,1
C84717,8
C85001,8
C85003,11
C85004,37
C85005,15
C85006,11
C85007,12
C85008,10
C85009,5
C85010,32
C85013,20
C85014,15
C85016,20
C85017,20
C85018,8
C85019,6
C85020,24
C85022,13
C85023,17
C85024,15
C85026,9
C85028,6
C85030,14
C85033,13
C85614,4
C85619,12
C85622,2
C85623,8
C86001,32
C86002,17
C86003,24
C86005,13
C86006,31
C86007,38
C86009,26
C86011,31
C86012,16
C86013,31
C86015,13
C86016,15
C86017,25
C86018,20
C86019,33
C86020,16
C86021,17
C86022,18
C86023,19
C86024,25
C86025,9
C86026,11
C86029,27
C86032,20
C86033,10
C86034,8
C86037,24
C86038,23
C86039,3
C86605,14
C86606,4
C86609,17
C86611,15
C86613,6
C86614,28
C86616,5
C86621,5
C86623,1
C86625,1
C86626,2
C87002,53
C87003,22
C87004,30
C87005,35
C87006,25
C87007,21
C87008,41
C87009,23
C87010,7
C87012,21
C87013,10
C87014,10
C87015,22
C87016,27
C87017,28
C87018,22
C87020,9
C87022,14
C87024,14
C87029,25
C87030,21
C87031,5
C87603,5
C87604,14
C87606,4
C87608,3
C87616,10
C87620,18
C87621,1
C87622,10
C88005,20
C88006,1
C88007,9
C88008,16
C88009,12
C88010,31
C88011,2
C88014,17
C88015,35
C88016,37
C88018,21
C88019,14
C88020,2
C88021,19
C88022,14
C88023,24
C88024,6
C88025,13
C88026,15
C88027,5
C88028,27
C88030,12
C88031,29
C88032,13
C88033,2
C88034,31
C88035,9
C88036,24
C88037,23
C88038,8
C88039,15
C88040,11
C88041,17
C88043,15
C88044,13
C88045,14
C88046,7
C88047,11
C88048,5
C88049,9
C88050,7
C88051,6
C88052,20
C88053,13
C88054,23
C88059,4
C88060,3
C88062,8
C88068,7
C88069,9
C88070,5
C88072,28
C88073,11
C88074,8
C88076,10
C88077,7
C88078,16
C88079,14
C88082,2
C88083,11
C88084,7
C88085,14
C88086,4
C88087,17
C88088,12
C88090,8
C88091,5
C88092,26
C88095,11
C88096,17
C88631,2
C88643,3
C88647,15
C88648,15
C88652,10
C88655,2
C88656,11
D81001,17
D81002,25
D81003,6
D81004,31
D81005,11
D81007,4
D81008,52
D81009,1
D81010,30
D81011,26
D81012,25
D81013,19
D81014,29
D81015,24
D81016,25
D81017,6
D81018,27
D81019,1
D81020,1
D81021,24
D81022,96
D81023,14
D81024,2
D81025,25
D81026,65
D81027,14
D81028,30
D81029,21
D81030,38
D81031,38
D81032,12
D81033,11
D81034,49
D81035,27
D81036,14
D81037,9
D81038,21
D81039,4
D81040,4
D81041,16
D81042,14
D81043,98
D81044,31
D81045,19
D81046,34
D81047,25
D81049,31
D81050,30
D81051,22
D81052,26
D81053,4
D81054,20
D81055,20
D81056,9
D81057,51
D81058,22
D81059,21
D81060,17
D81061,30
D81062,27
D81063,1
D81064,16
D81065,1
D81066,15
D81070,10
D81073,4
D81074,1
D81078,8
D81081,8
D81082,21
D81084,11
D81085,13
D81086,11
D81602,6
D81603,27
D81606,28
D81607,4
D81611,36
D81612,10
D81615,18
D81618,12
D81622,22
D81623,8
D81624,2
D81625,18
D81629,5
D81630,7
D81631,9
D81633,7
D81637,13
D81645,2
D82001,62
D82002,17
D82003,47
D82004,49
D82005,37
D82006,36
D82007,55
D82008,46
D82009,24
D82010,21
D82011,44
D82012,30
D82013,14
D82015,36
D82016,29
D82017,19
D82018,27
D82019,51
D82020,33
D82022,14
D82023,24
D82024,13
D82025,31
D82026,16
D82027,32
D82028,18
D82029,53
D82030,28
D82031,17
D82032,24
D82034,55
D82035,32
D82036,30
D82037,30
D82038,15
D82039,23
D82040,16
D82041,15
D82042,33
D82043,29
D82044,94
D82045,64
D82046,10
D82047,20
D82048,38
D82049,14
D82050,21
D82051,37
D82053,24
D82054,47
D82056,25
D82057,16
D82058,52
D82059,38
D82060,8
D82062,27
D82063,24
D82064,63
D82065,23
D82066,28
D82067,21
D82068,20
D82069,2
D82070,11
D82071,40
D82072,12
D82073,30
D82076,16
D82078,36
D82079,10
D82080,24
D82084,32
D82085,15
D82087,13
D82088,4
D82096,12
D82099,30
D82100,18
D82104,36
D82105,12
D82106,5
D82600,6
D82604,17
D82613,1
D82618,18
D82621,15
D82624,13
D82628,10
D83001,37
D83002,41
D83003,20
D83004,24
D83005,26
D83006,26
D83007,14
D83008,25
D83009,61
D83010,30
D83011,38
D83012,20
D83013,26
D83014,17
D83015,26
D83016,20
D83017,52
D83018,30
D83019,21
D83020,26
D83021,37
D83022,25
D83023,31
D83024,23
D83026,25
D83027,8
D83028,30
D83029,17
D83030,16
D83033,19
D83034,35
D83035,59
D83036,8
D83037,39
D83038,41
D83039,15
D83040,20
D83041,34
D83043,13
D83044,36
D83045,16
D83046,63
D83047,50
D83048,52
D83049,20
D83050,32
D83051,32
D83053,29
D83054,12
D83055,38
D83056,15
D83057,41
D83058,11
D83059,32
D83060,64
D83061,19
D83062,19
D83064,8
D83067,9
D83069,20
D83070,11
D83073,9
D83074,15
D83075,19
